zespol,slupek,nazwa_zespolu,id_ulicy,szer_geo,dlug_geo,kierunek
3174,01,Zielona,0330,52.076930,21.049349,Chyliczkowska-Technikum
3174,02,Zielona,0330,52.076870,21.048560,---------- CHYLICE -----------
3175,01,Chylice,2050,52.078489,21.063915,Sielska
3175,02,Chylice,2050,52.078296,21.062056,Długa
3176,01,Jasna,0517,52.077915,21.071285,---------- CHYLICE -----------
3176,02,Jasna,0517,52.077890,21.072135,Pańska
3177,01,Pańska,0517,52.077998,21.078279,Jasna
3177,02,Pańska,0517,52.077908,21.076508,Chopina
3177,71,Pańska,0517,52.078136,21.075214,______________________________
3178,01,Tabita,0517,52.078137,21.088157,Chopina
3178,02,Tabita,0517,52.078096,21.089514,Chylicka
3179,01,Skolimów,1849,52.077302,21.101488,Chylicka
3179,02,Skolimów,1849,52.077135,21.099933,pl.Sportowy
3179,03,Skolimów,1923,52.077372,21.100081,Prusa
3180,01,pl.Sportowy,1849,52.077869,21.110081,Skolimów
3180,02,pl.Sportowy,1849,52.077905,21.111336,Piłsudskiego
3181,01,Piasta,1757,52.078499,21.118088,Prusa
3181,02,Piasta,1757,52.078928,21.118493,Jagiellońska
3182,01,Stocer,2542,52.080300,21.113750,Piasta
3182,03,Stocer,2542,52.080656,21.113806,Park Zdrojowy
3183,01,Park Zdrojowy,1757,52.084256,21.119725,Jagiellońska
3183,02,Park Zdrojowy,1757,52.083710,21.119557,Sobieskiego
3184,01,Sobieskiego,1757,52.088484,21.121453,Park Zdrojowy
3184,02,Sobieskiego,1757,52.089018,21.121706,al.Wojska Polskiego
3185,01,CH Stara Papiernia,0115,52.090737,21.122549,Warszawska
3185,02,CH Stara Papiernia,0115,52.090666,21.122698,Osiedle Mirków
3185,81,CH Stara Papiernia,null,52.090737,21.122549,null
3186,01,Osiedle Mirków,1539,52.097502,21.135279,CH Stara Papiernia
3186,02,Osiedle Mirków,1539,52.096658,21.136175,Mirków-Szkoła
3186,03,Osiedle Mirków,0115,52.094814,21.134876,CH Stara Papiernia
3186,04,Osiedle Mirków,0115,52.094737,21.134841,---------- HABDZIN -----------
3186,81,Osiedle Mirków,null,52.097501,21.135278,null
3186,82,Osiedle Mirków,null,52.096657,21.136174,null
3187,01,Mirkowska,0243,52.102573,21.125513,Klarysew
3187,02,Mirkowska,0243,52.103309,21.126513,Ogrody Bielawy
3187,03,Mirkowska,0243,52.101067,21.125455,Mirków-Szkoła
3187,04,Mirkowska,0243,52.100376,21.125380,Południowa
3187,54,Mirkowska,null,52.099679,21.125458,null
3188,01,Klarysew,2526,52.102233,21.114393,Polna
3188,02,Klarysew,2526,52.103190,21.114412,Borowa
3188,03,Klarysew,1539,52.102628,21.116018,Bielawska
3188,83,Klarysew,null,52.102628,21.116018,null
3190,01,Mandarynki,1917,52.144639,21.063852,Belgradzka
3190,02,Mandarynki,1917,52.145823,21.063123,Płaskowickiej
3191,01,Iwiczna,1801,52.091655,21.018771,Lamina
3191,02,Iwiczna,1801,52.091821,21.019215,Mysiadło
3192,01,Mirków-Szkoła,1539,52.099405,21.130917,Osiedle Mirków
3192,02,Mirków-Szkoła,1539,52.100001,21.129684,Bielawska
3192,81,Mirków-Szkoła,null,52.099404,21.130916,null
3193,01,Polna,2526,52.094747,21.117300,Bielawska
3193,02,Polna,2526,52.096698,21.116701,Klarysew
3194,01,Małcużyńskiego,0226,52.139057,21.055169,Metro Natolin
3194,02,Małcużyńskiego,0226,52.138933,21.054433,os.Wyżyny
3195,01,os.Wyżyny,0226,52.137584,21.050251,Metro Natolin
3195,02,os.Wyżyny,2005,52.137975,21.049090,Płaskowickiej
3195,04,os.Wyżyny,2005,52.137000,21.049703,Małej Łąki
3196,01,Zaściankowa,2038,52.168401,21.107369,Jara
3196,02,Zaściankowa,2038,52.167080,21.108000,Vogla
3197,01,Jara,2038,52.173436,21.108047,Siedliskowa
3197,02,Jara,2038,52.173012,21.107778,Zaściankowa
3198,01,Siedliskowa,2038,52.177033,21.106317,Glebowa
3198,02,Siedliskowa,2038,52.176264,21.107120,Jara
3199,01,Zaolziańska,2021,52.160773,21.021016,Megasam
