Lines,Lon,VehicleNumber,Time,Lat,Brigade
225,21.115488,1000,2024-02-16 18:43:52,52.234588,501
219,21.0914958,1001,2024-02-16 21:44:08,52.2219468,1
213,21.1887276,1002,2024-02-16 21:44:02,52.1499768,3
213,21.1883343,1003,2024-02-16 21:44:04,52.1839416,4
225,21.115664,1004,2024-02-16 17:39:12,52.234544,503
311,21.1181886,1005,2024-02-16 21:44:05,52.2343501,502
213,21.1892341,1006,2024-02-16 21:44:06,52.183906,2
219,21.1087193,1007,2024-02-16 21:44:08,52.2182268,2
L-8,21.060186,10071,2024-02-16 21:44:09,52.4203145,1
L31,21.1627878,10072,2024-02-16 21:02:03,52.4320136,1
L49,20.884894,10073,2024-02-16 21:44:08,52.4113803,1
L24,21.0482263,10074,2024-02-16 21:44:09,52.0583885,696
L-8,21.1389496,10075,2024-02-16 19:46:44,52.3829711,02
213,21.115531,1008,2024-02-15 21:37:23,52.234549,5
225,21.115476,1009,2024-02-16 18:11:21,52.234565,04
219,21.1878053,1010,2024-02-16 21:44:04,52.1839625,3
213,21.114953,1011,2024-02-14 18:50:46,52.234814,2
225,21.115668,1012,2024-02-16 09:56:21,52.234556,04
213,21.102388,1013,2024-02-16 21:44:00,52.222769,1
213,21.115853,1014,2024-02-16 21:33:05,52.234546,5
239,20.995775,1020,2024-02-16 20:24:30,52.188538,777
192,20.995831,1021,2024-02-16 20:00:26,52.188499,3
263,21.091425,1022,2024-02-16 21:44:03,52.183135,4
200,20.9956107,1023,2024-02-16 19:18:03,52.1884932,1
107,20.9952332,1024,2024-02-16 21:40:29,52.1882924,9
163,20.9951702,1025,2024-02-16 19:11:51,52.1882877,03
339,20.995818,1026,2024-02-16 19:59:08,52.1885322,01
208,20.9950734,1027,2024-02-16 20:09:01,52.1884405,05
108,20.996151,1028,2024-02-16 21:44:08,52.187942,1
164,20.9959922,1029,2024-02-16 19:51:16,52.1884926,04
192,20.995148,1030,2024-02-16 19:10:42,52.18829,06
239,20.997998,1031,2024-02-16 20:21:54,52.1862012,776
163,20.996044,1032,2024-02-16 19:38:27,52.188541,01
263,20.997938,1033,2024-02-16 13:21:18,52.185894,06
192,20.9959992,1034,2024-02-16 20:02:47,52.1885397,2
208,20.9756,1035,2024-02-16 20:51:24,52.210166,04
208,20.995893,1036,2024-02-16 20:12:04,52.188507,05
107,21.0213302,1037,2024-02-16 21:44:08,52.2237272,7
164,20.996801,1038,2024-02-16 20:31:26,52.187531,05
