brygada,kierunek,trasa,czas
715,Grodzisk,TP-GRO,05:34:00
518,Grodzisk,TP-GRO,06:04:00
515,Grodzisk,TP-GRO,06:33:00
516,Grodzisk,TP-GROT,06:55:00
517,Grodzisk,TP-GROT,07:24:00
513,Grodzisk,TP-GROT,07:53:00
514,Grodzisk,TP-GROT,08:29:00
515,Grodzisk,TP-GROT,09:00:00
516,Grodzisk,TP-GROT,09:30:00
517,Grodzisk,TP-GROT,09:59:00
518,Grodzisk,TP-GROT,10:29:00
519,Grodzisk,TP-GROT,10:59:00
513,Grodzisk,TP-GROT,11:29:00
514,Grodzisk,TP-GROT,11:59:00
515,Grodzisk,TP-GROT,12:28:00
516,Grodzisk,TP-GROT,12:58:00
517,Grodzisk,TP-GROT,13:28:00
715,Grodzisk,TP-GROT,13:49:00
518,Grodzisk,TP-GROT,14:19:00
519,Grodzisk,TP-GROT,14:49:00
513,Grodzisk,TP-GROT,15:18:00
514,Grodzisk,TP-GROT,15:48:00
715,Grodzisk,TP-GROT,16:17:00
518,Grodzisk,TP-GROT,16:47:00
519,Grodzisk,TP-GROT,17:17:00
513,Grodzisk,TX-GRO1T,17:52:00
514,Grodzisk,TP-GROT,18:26:00
518,Grodzisk,TP-GRO,19:01:00
519,Grodzisk,TP-GRO,19:32:00
716,Grodzisk,TX-GRO1,20:02:00
515,Grodzisk,TP-GRO,20:33:00
283,Grodzisk,TX-GRO1,21:05:00
517,Grodzisk,TP-GRO,21:35:00
514,Grodzisk,TX-GRO1,22:05:00
518,Grodzisk,TX-GRO1,22:35:00
