brygada,kierunek,trasa,czas
09,Wilanów,TP-WLW,07:04:00
01,Wilanów,TP-WLW,07:14:00
02,Wilanów,TP-WLW,07:27:00
03,Wilanów,TP-WLW,07:37:00
04,Wilanów,TP-WLW,07:47:00
05,Wilanów,TP-WLW,07:57:00
06,Wilanów,TP-WLW,08:07:00
07,Wilanów,TP-WLW,08:17:00
08,Wilanów,TP-WLW,08:27:00
09,Wilanów,TP-WLW,08:37:00
01,Wilanów,TP-WLW,08:47:00
05,Wilanów,TP-WLW,14:47:00
01,Wilanów,TP-WLW,15:07:00
02,Wilanów,TX-WLW,15:25:00
03,Wilanów,TP-WLW,15:45:00
06,Wilanów,TX-WLW,16:05:00
05,Wilanów,TP-WLW,16:25:00
01,Wilanów,TP-WLW,16:45:00
02,Wilanów,TP-WLW,17:05:00
03,Wilanów,TP-WLW,17:25:00
06,Wilanów,TP-WLW,17:45:00
05,Wilanów,TP-WLW,18:05:00
01,Wilanów,TP-WLW,18:25:00
