brygada,kierunek,trasa,czas
2,Mysiadło,TO-MYS,04:59:00
1,Mysiadło,TO-MYS,05:39:00
03,Mysiadło,TO-MYS,06:09:00
2,Mysiadło,TO-MYS,06:39:00
1,Mysiadło,TO-MYS,07:14:00
03,Mysiadło,TO-MYS,07:41:00
2,Mysiadło,TO-MYS,08:26:00
1,Mysiadło,TO-MYS,09:31:00
2,Mysiadło,TO-MYS,10:31:00
1,Mysiadło,TO-MYS,11:31:00
2,Mysiadło,TO-MYS,12:31:00
1,Mysiadło,TO-MYS,13:31:00
2,Mysiadło,TO-MYS,14:21:00
03,Mysiadło,TO-MYS,15:06:00
1,Mysiadło,TO-MYS,15:54:00
2,Mysiadło,TO-MYS,16:26:00
03,Mysiadło,TO-MYS,17:06:00
1,Mysiadło,TO-MYS,17:46:00
2,Mysiadło,TO-MYS,18:26:00
1,Mysiadło,TO-MYS,19:26:00
2,Mysiadło,TO-MYS,20:26:00
1,Mysiadło,TO-MYS,21:26:00
