brygada,kierunek,trasa,czas
1,Rzakta,TP-RZA,05:47:00
2,Rzakta,TP-RZA,06:28:00
03,Rzakta,TP-RZA,07:03:00
1,Rzakta,TP-RZA,07:33:00
2,Rzakta,TP-RZA,08:03:00
03,Rzakta,TP-RZA,08:33:00
1,Rzakta,TP-RZA,09:08:00
2,Rzakta,TP-RZA,10:03:00
1,Rzakta,TP-RZA,11:03:00
2,Rzakta,TP-RZA,12:03:00
1,Rzakta,TP-RZA,13:03:00
2,Rzakta,TP-RZA,14:03:00
03,Rzakta,TP-RZA,14:48:00
1,Rzakta,TP-RZA,15:28:00
2,Rzakta,TP-RZA,16:08:00
03,Rzakta,TP-RZA,16:58:00
1,Rzakta,TP-RZA,17:58:00
2,Rzakta,TP-RZA,18:58:00
1,Rzakta,TP-RZA,19:58:00
1,Rzakta,TP-RZA,21:57:00
1,Rzakta,TP-RZA,23:57:00
