brygada,kierunek,trasa,czas
2,Metro Płocka,TP-MPL,04:25:00
3,Metro Płocka,TP-MPL,04:45:00
2,Metro Płocka,TP-MPL,05:05:00
3,Metro Płocka,TP-MPL,05:25:00
2,Metro Płocka,TP-MPL,05:45:00
3,Metro Płocka,TP-MPL,06:01:00
04,Metro Płocka,TP-MPL,06:12:00
2,Metro Płocka,TP-MPL,06:22:00
3,Metro Płocka,TP-MPL,06:32:00
1,Metro Płocka,TP-MPL,06:42:00
04,Metro Płocka,TP-MPL,06:53:00
2,Metro Płocka,TP-MPL,07:03:00
3,Metro Płocka,TP-MPL,07:13:00
1,Metro Płocka,TP-MPL,07:23:00
04,Metro Płocka,TP-MPL,07:33:00
2,Metro Płocka,TP-MPL,07:43:00
3,Metro Płocka,TP-MPL,07:53:00
1,Metro Płocka,TP-MPL,08:03:00
04,Metro Płocka,TP-MPL,08:13:00
2,Metro Płocka,TP-MPL,08:23:00
3,Metro Płocka,TP-MPL,08:33:00
1,Metro Płocka,TP-MPL,08:43:00
04,Metro Płocka,TP-MPL,08:53:00
2,Metro Płocka,TP-MPL,09:02:00
3,Metro Płocka,TP-MPL,09:12:00
1,Metro Płocka,TP-MPL,09:22:00
2,Metro Płocka,TP-MPL,09:37:00
3,Metro Płocka,TP-MPL,09:52:00
1,Metro Płocka,TP-MPL,10:07:00
2,Metro Płocka,TP-MPL,10:22:00
3,Metro Płocka,TP-MPL,10:37:00
1,Metro Płocka,TP-MPL,10:52:00
2,Metro Płocka,TP-MPL,11:07:00
3,Metro Płocka,TP-MPL,11:22:00
1,Metro Płocka,TP-MPL,11:37:00
2,Metro Płocka,TP-MPL,11:52:00
3,Metro Płocka,TP-MPL,12:07:00
1,Metro Płocka,TP-MPL,12:22:00
2,Metro Płocka,TP-MPL,12:37:00
3,Metro Płocka,TP-MPL,12:52:00
1,Metro Płocka,TP-MPL,13:07:00
2,Metro Płocka,TP-MPL,13:22:00
3,Metro Płocka,TP-MPL,13:37:00
1,Metro Płocka,TP-MPL,13:52:00
2,Metro Płocka,TP-MPL,14:05:00
3,Metro Płocka,TP-MPL,14:15:00
04,Metro Płocka,TP-MPL,14:25:00
1,Metro Płocka,TP-MPL,14:35:00
2,Metro Płocka,TP-MPL,14:45:00
3,Metro Płocka,TP-MPL,14:55:00
04,Metro Płocka,TP-MPL,15:05:00
1,Metro Płocka,TP-MPL,15:15:00
2,Metro Płocka,TP-MPL,15:25:00
3,Metro Płocka,TP-MPL,15:35:00
04,Metro Płocka,TP-MPL,15:45:00
1,Metro Płocka,TP-MPL,15:55:00
2,Metro Płocka,TP-MPL,16:05:00
3,Metro Płocka,TP-MPL,16:15:00
04,Metro Płocka,TP-MPL,16:25:00
1,Metro Płocka,TP-MPL,16:35:00
2,Metro Płocka,TP-MPL,16:45:00
3,Metro Płocka,TP-MPL,16:55:00
04,Metro Płocka,TP-MPL,17:05:00
1,Metro Płocka,TP-MPL,17:15:00
2,Metro Płocka,TP-MPL,17:25:00
3,Metro Płocka,TP-MPL,17:35:00
1,Metro Płocka,TP-MPL,17:52:00
2,Metro Płocka,TP-MPL,18:07:00
3,Metro Płocka,TP-MPL,18:22:00
1,Metro Płocka,TP-MPL,18:37:00
2,Metro Płocka,TP-MPL,18:52:00
3,Metro Płocka,TP-MPL,19:07:00
1,Metro Płocka,TP-MPL,19:22:00
2,Metro Płocka,TP-MPL,19:37:00
3,Metro Płocka,TP-MPL,19:52:00
1,Metro Płocka,TP-MPL,20:05:00
3,Metro Płocka,TP-MPL,20:25:00
1,Metro Płocka,TP-MPL,20:45:00
3,Metro Płocka,TP-MPL,21:05:00
1,Metro Płocka,TP-MPL,21:25:00
3,Metro Płocka,TP-MPL,21:45:00
1,Metro Płocka,TP-MPL,22:05:00
3,Metro Płocka,TP-MPL,22:25:00
1,Metro Płocka,TP-MPL,22:45:00
3,Metro Płocka,TP-MPL,23:05:00
1,Metro Płocka,TP-MPL,23:25:00
