brygada,kierunek,trasa,czas
02,Dw.Centralny,TP-DWC,06:00:00
04,Dw.Centralny,TP-DWC,06:18:00
01,Dw.Centralny,TP-DWC,06:33:00
02,Dw.Centralny,TP-DWC,06:48:00
04,Dw.Centralny,TP-DWC,07:18:00
01,Dw.Centralny,TP-DWC,07:33:00
02,Dw.Centralny,TP-DWC,07:48:00
03,Dw.Centralny,TP-DWC,08:03:00
04,Dw.Centralny,TP-DWC,08:18:00
01,Dw.Centralny,TP-DWC,08:33:00
02,Dw.Centralny,TP-DWC,08:48:00
03,Dw.Centralny,TP-DWC,09:03:00
04,Dw.Centralny,TP-DWC,09:23:00
01,Dw.Centralny,TP-DWC,14:58:00
02,Dw.Centralny,TP-DWC,15:18:00
03,Dw.Centralny,TP-DWC,15:33:00
04,Dw.Centralny,TP-DWC,15:48:00
01,Dw.Centralny,TP-DWC,16:03:00
02,Dw.Centralny,TP-DWC,16:18:00
03,Dw.Centralny,TP-DWC,16:33:00
04,Dw.Centralny,TP-DWC,16:48:00
01,Dw.Centralny,TP-DWC,17:03:00
02,Dw.Centralny,TP-DWC,17:18:00
03,Dw.Centralny,TP-DWC,17:33:00
04,Dw.Centralny,TP-DWC,17:48:00
01,Dw.Centralny,TP-DWC,18:03:00
02,Dw.Centralny,TP-DWC,18:18:00
